Ticker,Window,Model,Samples,Accuracy,Accuracy_Std,Precision,Recall,Specificity,F-Score,AUC
AAPL,15,Random Forest,1230,0.5260162601626016,0.11077813813515099,0.5997718618521656,0.665231399973668,0.3352960294168514,0.6073586356443803,0.5106012282978385
AAPL,15,XGBoost,1230,0.5276422764227642,0.11638801316302957,0.5915488813528971,0.6799594633456647,0.2956281519927811,0.6160640820641725,0.49588039691885727
AAPL,15,Gradient Boosting,1230,0.5219512195121951,0.12301970939432677,0.591830080660272,0.7230050047258613,0.2339314733182917,0.6331124453961723,0.4826179896269548
AAPL,15,LightGBM,1230,0.5227642276422764,0.10508267678487718,0.5966552461076556,0.7478428757730899,0.20466231331760265,0.6460236060436605,0.4862312170569233
AAPL,15,CatBoost,1230,0.5065040650406505,0.10201875332251323,0.59683723562769,0.5987764529873967,0.4074106667521473,0.5671524065041523,0.5064047632829757
MSFT,1,Random Forest,1230,0.7178861788617885,0.04487038935462318,0.7520662277655922,0.762453590489845,0.6339147629414229,0.7538376908418937,0.7468087246951118
MSFT,1,XGBoost,1230,0.6886178861788619,0.034930977331611095,0.7638475556701952,0.6880741368024565,0.6873325119987944,0.7167524976524386,0.7436545679028846
MSFT,1,Gradient Boosting,1230,0.667479674796748,0.020631833399104918,0.7453774378307646,0.6856094902109183,0.6397551662132459,0.7030054310730118,0.7341032937461902
MSFT,1,LightGBM,1230,0.6804878048780488,0.029938134373206436,0.7558884430490618,0.703562379066968,0.6612257869585043,0.7174604208260427,0.7246872946535241
MSFT,1,CatBoost,1230,0.7089430894308943,0.04516404686936959,0.7477853897000221,0.7395074286882803,0.6410080064187561,0.7416639893235095,0.748874464391245
MSFT,2,Random Forest,1230,0.6894308943089431,0.05571330633824979,0.7273409311034791,0.7401073699230551,0.6037113007608351,0.7281966683357447,0.7203551898866944
MSFT,2,XGBoost,1230,0.6585365853658537,0.05817412624389697,0.7389838789462873,0.6656974007787266,0.6612117472243861,0.688230091110831,0.7182763493163368
MSFT,2,Gradient Boosting,1230,0.6325203252032521,0.04053642556851352,0.7276854786847705,0.6462976768436679,0.6243175909141293,0.6614860529219663,0.7041068285284469
MSFT,2,LightGBM,1230,0.6268292682926828,0.09754064828885418,0.7265545958515897,0.6220985528862517,0.6660593887696052,0.6416580399715962,0.708721945679113
MSFT,2,CatBoost,1230,0.6910569105691058,0.04958683148610376,0.7346786841604632,0.7261575469689286,0.6293987410548922,0.7264624067397631,0.7212034818130741
MSFT,5,Random Forest,1230,0.5845528455284553,0.08501282014419388,0.6918033671458329,0.6025513163018955,0.585454274440327,0.6152575285047934,0.6516556549243812
MSFT,5,XGBoost,1230,0.5666666666666667,0.10362585169381698,0.6908207862366602,0.5542537913871913,0.6235513058906055,0.5748049521878565,0.6344216501130192
MSFT,5,Gradient Boosting,1230,0.5447154471544715,0.08318944547828608,0.6703535601773835,0.5728412051924081,0.5351024474716175,0.5694402154920646,0.6110350075410529
MSFT,5,LightGBM,1230,0.5772357723577235,0.10076054234035556,0.6792800605349625,0.6024099781017901,0.5746817990870958,0.5984430247139791,0.6301627608177987
