entry_date,exit_date,position,gross_return,net_return,gross_equity,net_equity,ticker,model,horizon,cost_bps,strategy
2024-03-22,2024-04-01,1,-0.013060134757038266,-0.013060134757038266,0.8161539665650632,0.8161539665650632,AAPL,LightGBM,5,0.0,sign
2024-04-01,2024-04-08,-1,0.009292488633759088,0.009292488633759088,0.8237380680227665,0.8237380680227665,AAPL,LightGBM,5,0.0,sign
2024-04-08,2024-04-15,1,0.02517070685650924,0.02517070685650924,0.8444721374595148,0.8444721374595148,AAPL,LightGBM,5,0.0,sign
2024-04-15,2024-04-22,1,-0.03966648912313164,-0.03966648912313164,0.8109748926041892,0.8109748926041892,AAPL,LightGBM,5,0.0,sign
2024-04-22,2024-04-29,-1,-0.046189121027852,-0.046189121027852,0.773516675139145,0.773516675139145,AAPL,LightGBM,5,0.0,sign
2024-04-29,2024-05-06,-1,-0.04731992342286562,-0.04731992342286562,0.736913925305251,0.736913925305251,AAPL,LightGBM,5,0.0,sign
2024-05-06,2024-05-13,-1,-0.025149919633352447,-0.025149919633352447,0.7183805993071256,0.7183805993071256,AAPL,LightGBM,5,0.0,sign
2024-05-13,2024-05-20,-1,-0.025552901750206303,-0.025552901750206303,0.7000238904337763,0.7000238904337763,AAPL,LightGBM,5,0.0,sign
2024-05-20,2024-05-28,1,-0.005496167451158329,-0.005496167451158329,0.696176441912141,0.696176441912141,AAPL,LightGBM,5,0.0,sign
2024-05-28,2024-06-04,1,0.022948578789890206,0.022948578789890206,0.7121527018410272,0.7121527018410272,AAPL,LightGBM,5,0.0,sign
2024-06-04,2024-06-11,-1,-0.06586049596597987,-0.06586049596597987,0.6652499716942646,0.6652499716942646,AAPL,LightGBM,5,0.0,sign
2024-06-11,2024-06-18,-1,-0.03446777504235121,-0.03446777504235121,0.6423202853229761,0.6423202853229761,AAPL,LightGBM,5,0.0,sign
2024-06-18,2024-06-26,-1,0.004853205089908941,0.004853205089908941,0.6454375974010573,0.6454375974010573,AAPL,LightGBM,5,0.0,sign
2024-06-26,2024-07-03,-1,-0.03892146800355367,-0.03892146800355367,0.6203162186055216,0.6203162186055216,AAPL,LightGBM,5,0.0,sign
2024-07-03,2024-07-11,-1,-0.027172214802698713,-0.027172214802698713,0.6034608530679745,0.6034608530679745,AAPL,LightGBM,5,0.0,sign
2024-07-11,2024-07-18,-1,0.01489657924740384,0.01489657924740384,0.6124503554884075,0.6124503554884075,AAPL,LightGBM,5,0.0,sign
2024-07-18,2024-07-25,-1,0.0298420349771914,0.0298420349771914,0.6307271204186858,0.6307271204186858,AAPL,LightGBM,5,0.0,sign
2024-07-25,2024-08-01,-1,-0.004000161364724697,-0.004000161364724697,0.628204110159903,0.628204110159903,AAPL,LightGBM,5,0.0,sign
2024-08-01,2024-08-08,-1,0.023126960238332273,0.023126960238332273,0.642732561637128,0.642732561637128,AAPL,LightGBM,5,0.0,sign
2024-08-08,2024-08-15,-1,-0.053490243273643046,-0.053490243273643046,0.6083526405552663,0.6083526405552663,AAPL,LightGBM,5,0.0,sign
2024-08-15,2024-08-22,-1,0.0008455074776350102,0.0008455074776350102,0.6088670072618948,0.6088670072618948,AAPL,LightGBM,5,0.0,sign
2024-08-22,2024-08-29,-1,-0.02342668924167368,-0.02342668924167368,0.5946032690932626,0.5946032690932626,AAPL,LightGBM,5,0.0,sign
2024-08-29,2024-09-06,1,-0.039035581287235166,-0.039035581287235166,0.5713925848489168,0.5713925848489168,AAPL,LightGBM,5,0.0,sign
2024-09-06,2024-09-13,-1,-0.007607973100528964,-0.007607973100528964,0.5670454454335445,0.5670454454335445,AAPL,LightGBM,5,0.0,sign
2024-09-13,2024-09-20,-1,-0.025617963812324396,-0.025617963812324396,0.5525188957324846,0.5525188957324846,AAPL,LightGBM,5,0.0,sign
2024-09-20,2024-09-27,1,-0.001796685659914199,-0.001796685659914199,0.5515261929556904,0.5515261929556904,AAPL,LightGBM,5,0.0,sign
2024-09-27,2024-10-04,1,-0.0043460655145260985,-0.0043460655145260985,0.5491292239881278,0.5491292239881278,AAPL,LightGBM,5,0.0,sign
2024-10-04,2024-10-11,1,0.0033068782623819626,0.0033068782623819626,0.5509451274821728,0.5509451274821728,AAPL,LightGBM,5,0.0,sign
2024-10-11,2024-10-18,-1,-0.0327400432798397,-0.0327400432798397,0.5329071601635897,0.5329071601635897,AAPL,LightGBM,5,0.0,sign
2024-10-18,2024-10-25,-1,0.015276580161236675,0.015276580161236675,0.5410481591143258,0.5410481591143258,AAPL,LightGBM,5,0.0,sign
2024-10-25,2024-11-01,-1,0.03673134205732598,0.03673134205732598,0.5609215841162407,0.5609215841162407,AAPL,LightGBM,5,0.0,sign
2024-11-01,2024-11-08,-1,-0.01816878105612907,-0.01816878105612907,0.5507303226647756,0.5507303226647756,AAPL,LightGBM,5,0.0,sign
2024-11-08,2024-11-15,1,-0.00863591230122851,-0.00863591230122851,0.5459742638966153,0.5459742638966153,AAPL,LightGBM,5,0.0,sign
2024-11-15,2024-11-22,-1,-0.021644422743055447,-0.021644422743055447,0.5341569661220085,0.5341569661220085,AAPL,LightGBM,5,0.0,sign
2024-11-22,2024-12-02,1,0.04228477586101609,0.04228477586101609,0.556743673709078,0.556743673709078,AAPL,LightGBM,5,0.0,sign
2024-12-02,2024-12-09,1,0.029884401567466634,0.029884401567466634,0.5733816252243467,0.5733816252243467,AAPL,LightGBM,5,0.0,sign
2024-12-09,2024-12-16,1,0.017385991027893954,0.017385991027893954,0.5833504330160564,0.5833504330160564,AAPL,LightGBM,5,0.0,sign
2024-12-16,2024-12-23,1,0.016849948611601606,0.016849948611601606,0.5931798578349324,0.5931798578349324,AAPL,LightGBM,5,0.0,sign
2020-02-11,2020-02-19,1,0.0125465722268161,0.012046572226816099,1.012546572226816,1.0120465722268162,AAPL,LightGBM,5,5.0,sign
2020-02-19,2020-02-26,1,-0.09569866413689443,-0.09619866413689443,0.9156472178883183,0.9146890439342734,AAPL,LightGBM,5,5.0,sign
2020-02-26,2020-03-04,1,0.03447803365223945,0.03397803365223945,0.9472169334802512,0.9457683790504069,AAPL,LightGBM,5,5.0,sign
2020-03-04,2020-03-11,-1,0.09020941547051953,0.08970941547051953,1.0326648193732826,1.0306127075055196,AAPL,LightGBM,5,5.0,sign
2020-03-11,2020-03-18,1,-0.10441852837969745,-0.10491852837969745,0.9248354786248383,0.9224823389046249,AAPL,LightGBM,5,5.0,sign
2020-03-18,2020-03-25,1,-0.00466207445178124,-0.00516207445178124,0.9205238267678405,0.917720416390746,AAPL,LightGBM,5,5.0,sign
2020-03-25,2020-04-01,-1,0.018776476580848023,0.018276476580848022,0.9378080208432594,0.9344931120886776,AAPL,LightGBM,5,5.0,sign
2020-04-01,2020-04-08,1,0.10443735535946352,0.10393735535946352,1.035750210375022,1.0316218547608096,AAPL,LightGBM,5,5.0,sign
2020-04-08,2020-04-16,1,0.07749838219104888,0.07699838219104888,1.1160191760331248,1.111055068610321,AAPL,LightGBM,5,5.0,sign
